dataset,horizon,variant,variant_label,seed,validation_best_mse,validation_best_mae,test_mse,test_mae,result_source,test_access
ETTm2,336,no_mamba,w/o Mamba,2021,0.20405759158844164,0.31123962523917004,0.2845164277535802,0.33336133724058115,,one_shot_after_validation_selection
ETTm2,336,no_mamba,w/o Mamba,2022,0.20483536050999454,0.31160602946886384,0.28409394347074873,0.3326883559633167,,one_shot_after_validation_selection
ETTm2,336,no_mamba,w/o Mamba,2023,0.20454786201817107,0.3117945990521649,0.28582203214532853,0.334947176112933,,one_shot_after_validation_selection
ETTm2,336,no_graph,w/o Graph,2021,0.20942635265394643,0.31621973569144496,0.29095087158609234,0.33920650413212755,,one_shot_after_validation_selection
ETTm2,336,no_graph,w/o Graph,2022,0.20854807426020147,0.31653511880024066,0.29169532873067905,0.34104087715696124,,one_shot_after_validation_selection
ETTm2,336,no_graph,w/o Graph,2023,0.20871738313204277,0.31561414163375734,0.2815613428769028,0.3329017397057693,,one_shot_after_validation_selection
ETTm2,720,full,TimeRole (Full),2021,0.2786508198134717,0.35967733572065547,0.37522217631340027,0.38984760642051697,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,720,full,TimeRole (Full),2022,0.27418926291816886,0.3611049248504557,0.3763110339641571,0.39477506279945374,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,720,full,TimeRole (Full),2023,0.2757137088150366,0.35866450536970096,0.3748840391635895,0.39040958881378174,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,720,no_dhc,w/o DHC,2021,0.2901884749637494,0.36994488330291747,0.40427374839782715,0.40237027406692505,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,720,no_dhc,w/o DHC,2022,0.29545028636091575,0.3761128221186806,0.42142313718795776,0.41606026887893677,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,720,no_dhc,w/o DHC,2023,0.2955224373365543,0.37521176578197035,0.4080672562122345,0.4081555902957916,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,720,no_decomp,w/o Decomposition,2021,0.2788636457902503,0.3631964245845981,0.3807226762092674,0.39699681392399594,,one_shot_after_validation_selection
ETTm2,720,no_decomp,w/o Decomposition,2022,0.27449488657203236,0.3563512225832356,0.3764160885392929,0.39199934481507215,,one_shot_after_validation_selection
ETTm2,720,no_decomp,w/o Decomposition,2023,0.2773792226375759,0.3614397506920954,0.3853856993143622,0.40018453370627793,,one_shot_after_validation_selection
ETTm2,720,no_patch,w/o Patch,2021,0.2809929982229815,0.36456647731403335,0.4036394046409508,0.4094032479424855,,one_shot_after_validation_selection
ETTm2,720,no_patch,w/o Patch,2022,0.27619793675150917,0.3604153515723164,0.38993575893979426,0.4016885831908407,,one_shot_after_validation_selection
ETTm2,720,no_patch,w/o Patch,2023,0.2772237032945824,0.36180659033037293,0.40982521152173573,0.4126171015922706,,one_shot_after_validation_selection
ETTm2,720,no_mamba,w/o Mamba,2021,0.2721643664305246,0.356138899283638,0.37464343475609047,0.3899110847753547,,one_shot_after_validation_selection
ETTm2,720,no_mamba,w/o Mamba,2022,0.2715936552001174,0.3558152231487283,0.3762436858285335,0.3892740358359974,,one_shot_after_validation_selection
ETTm2,720,no_mamba,w/o Mamba,2023,0.2713980315429244,0.3561871257962065,0.3759290554431378,0.389882257752201,,one_shot_after_validation_selection
ETTm2,720,no_graph,w/o Graph,2021,0.2815151885030567,0.3668192660474146,0.38728814943688844,0.40292028587061307,,one_shot_after_validation_selection
ETTm2,720,no_graph,w/o Graph,2022,0.2771294487667829,0.3616847832950689,0.37913794261510636,0.3976548334768363,,one_shot_after_validation_selection
ETTm2,720,no_graph,w/o Graph,2023,0.2786091166769216,0.36425013505280596,0.38056627699732914,0.3981091669658081,,one_shot_after_validation_selection
Weather,96,full,TimeRole (Full),2021,0.38365025392422214,0.2691728420709505,0.1462111473083496,0.1966434121131897,protocol_matched_frozen_record,reused_frozen_test_record
Weather,96,full,TimeRole (Full),2022,0.38120108809850306,0.2671191081440565,0.14666816592216492,0.19755423069000244,protocol_matched_frozen_record,reused_frozen_test_record
Weather,96,full,TimeRole (Full),2023,0.3817056838618348,0.2655237111262077,0.14554478228092194,0.19540339708328247,protocol_matched_frozen_record,reused_frozen_test_record
Weather,96,no_dhc,w/o DHC,2021,0.39080866789453994,0.27166766749158905,0.16266959503737918,0.21208252869433405,,one_shot_after_validation_selection
Weather,96,no_dhc,w/o DHC,2022,0.3944303742753848,0.27476219306538036,0.1608236883767487,0.210634984880403,,one_shot_after_validation_selection
Weather,96,no_dhc,w/o DHC,2023,0.39565318466009847,0.2743707741075622,0.16003411575671458,0.20960339858482918,,one_shot_after_validation_selection
Weather,96,no_decomp,w/o Decomposition,2021,0.3804380003750192,0.2647639815297817,0.14603470423679416,0.1965567057908723,,one_shot_after_validation_selection
